"Original Congregation","Planning Zone","Address Start","Address End","Address Direction","Street Name","Street Suffix","Zip","Year Original Building Completed","Original Architect"
"SAINT GEORGE EPISCOPAL CHURCH","WEST","512","538","S.","61ST","STREET","19143","1871","Unknown"
"SAINT PAUL'S BAPTIST CHURCH; CHRIST EVANGELICAL CHURCH (ORIGINAL)","LOWER NORTH","948","952","N.","8TH","STREET","19123","1875","UNKNOWN"
"ROXBOROUGH BAPTIST CHURCH","LOWER NORTHWEST","6035","6035","","RIDGE","AVENUE","19128","1878","UNKNOWN"
"SAINT AGATHA'S ROMAN CATHOLIC CHURCH","WEST","3801","3807","","SPRING GARDEN","STREET","19104","1878","EDWIN F. DURANG"
"EPISCOPAL CHURCH OF THE EVANGELISTS","CENTRAL","711","719","","CATHARINE","STREET","19147","1886","LOUIS C. BAKER, JR. (FURNESS, EVANS & CO.); OR CHARLES M. BURNS, JR.?"
"BETHANY MISSION","CENTRAL","1527","1527","","BRANDYWINE","STREET","19130","1887","UNKNOWN"
"FOURTH REFORMED PRESBYTERIAN CHURCH","LOWER NORTHWEST","355","355","","MARTIN","STREET","19128","1900","Unknown"
"WEST PHILADELPHIA FRIENDS MEETING HOUSE","UNIVERSITY/SOUTHWEST","3500","3500","","LANCASTER","AVENUE","19104","1901","BUNTING & SHRIGLEY"
"WISSAHICKON METHODIST EPISCOPAL CHURCH","LOWER NORTHWEST","3849","3849","","TERRACE","STREET","19128","1902","HALES & BALLINGER"
"CONGREGATION CHEVRA B'NAI REUBEN, ANSHE SFARD","CENTRAL","615","621","S.","6TH","STREET","19147","1904","CHARLES W. BOLTON; J. DULL"
"SAINT PATRICK","CENTRAL","511","511","S.","21ST","STREET","19146","1904","Unknown"
"GRACE EVANGELICAL LUTHERAN CHURCH","LOWER NORTHWEST","492","498","","ROXBOROUGH","AVENUE","19128","1910","Unknown"
"ROTHCHILD MEMORIAL SYNAGOGUE","WEST","137","137","S.","58TH","STREET","19139","1914","LOUIS LEVI"
"SAINT MARY OF THE ETERNAL CATHOLIC CHURCH","NORTH","2222","2228","W.","CLEARFIELD","STREET","19132","1921","Unknown"
