"zip","city","county","pop"
"19120","Philadelphia","Philadelphia","74060"
"19124","Philadelphia","Philadelphia","70304"
"19111","Philadelphia","Philadelphia","68113"
"19143","Philadelphia","Philadelphia","64630"
"17603","Lancaster","Lancaster","64242"
"19134","Philadelphia","Philadelphia","62087"
"19149","Philadelphia","Philadelphia","58055"
"15601","Greensburg","Westmoreland","56955"
"19446","Lansdale","Montgomery","56720"
"19382","West Chester","Chester","55036"
"19020","Bensalem","Bucks","54985"
"19320","Coatesville","Chester","54617"
"19104","Philadelphia","Philadelphia","53560"
"19067","Morrisville","Bucks","52689"
"17601","Lancaster","Lancaster","52552"
"19148","Philadelphia","Philadelphia","52259"
"17331","Hanover","York","51893"
"19140","Philadelphia","Philadelphia","51766"
"19380","West Chester","Chester","50956"
"17602","Lancaster","Lancaster","50417"
"18102","Allentown","Lehigh","49497"
"19335","Downingtown","Chester","48962"
"15301","Washington","Washington","48813"
"19464","Pottstown","Montgomery","46904"
"19403","Norristown","Montgomery","46592"
"19139","Philadelphia","Philadelphia","46397"
"18103","Allentown","Lehigh","46393"
"19145","Philadelphia","Philadelphia","46052"
"16801","State College","Centre","45280"
"17543","Lititz","Lancaster","45051"
"18104","Allentown","Lehigh","44908"
"19131","Philadelphia","Philadelphia","44723"
"15642","Irwin","Westmoreland","44277"
"19144","Philadelphia","Philadelphia","43884"
"17701","Williamsport","Lycoming","43218"
"15237","Pittsburgh","Allegheny","42561"
"18042","Easton","Northampton","42299"
"19460","Phoenixville","Chester","42063"
"19401","Norristown","Montgomery","41897"
"19082","Upper Darby","Delaware","41741"
"15108","Coraopolis","Allegheny","40971"
"19426","Collegeville","Montgomery","40720"
"18974","Warminster","Bucks","40543"
"17403","York","York","40216"
"18702","Wilkes Barre","Luzerne","40090"
"18017","Bethlehem","Northampton","39453"
"19146","Philadelphia","Philadelphia","39282"
"15317","Canonsburg","Washington","39019"
"16001","Butler","Butler","38847"
"19147","Philadelphia","Philadelphia","38472"
"17042","Lebanon","Lebanon","38400"
"17050","Mechanicsburg","Cumberland","38141"
"17402","York","York","38078"
"18966","Southampton","Bucks","37739"
"19128","Philadelphia","Philadelphia","37644"
"17055","Mechanicsburg","Cumberland","37232"
"15068","New Kensington","Westmoreland","37035"
"19083","Havertown","Delaware","36633"
"17011","Camp Hill","Cumberland","36532"
"19152","Philadelphia","Philadelphia","36379"
"17013","Carlisle","Cumberland","36184"
"17404","York","York","35899"
"17112","Harrisburg","Dauphin","35818"
"19063","Media","Delaware","35764"
