year,region,wine,beer,vodka,champagne,brandy,npg,birth_rate,death_rate,gdw,urbanization,total liters
1998,Altai Krai,3.3,19.2,11.3,1.1,0.1,-4.0,8.8,12.8,72.67,52.76,35.0
1998,Altai Republic,3.4,7.6,9.0,0.5,0.1,2.7,14.5,11.8,78.94,24.58,20.6
1998,Amur Oblast,2.1,21.2,17.3,0.7,0.4,-1.8,10.4,12.2,65.59,66.07,41.7
1998,Arkhangelsk Oblast,4.3,10.6,11.7,0.4,0.3,-4.2,9.1,13.3,68.28,74.3,27.299999999999997
1998,Astrakhan Oblast,2.9,18.0,9.5,0.8,0.2,-3.7,9.6,13.3,73.76,68.13,31.4
1998,Belgorod Oblast,3.4,23.0,10.8,0.9,0.1,-6.3,8.0,14.3,80.72,64.82,38.2
1998,Bryansk Oblast,3.4,32.4,9.7,0.5,0.1,-8.3,8.2,16.5,83.74,68.14,46.1
1998,Chechen Republic,,,,,,,,,86.25,37.33,
1998,Chelyabinsk Oblast,4.7,27.9,11.1,1.4,0.2,-4.0,8.9,12.9,73.68,81.46,45.300000000000004
1998,Chukotka Autonomous Okrug,0.3,1.8,4.6,0.6,0.1,3.5,12.3,8.8,45.4,68.93,7.399999999999999
1998,Chuvash Republic,1.6,20.9,8.8,0.8,0.02,-2.0,9.9,11.9,77.2,60.02,32.120000000000005
1998,Irkutsk Oblast,5.6,26.8,14.8,1.0,0.4,-2.5,10.5,13.0,70.29,79.59,48.6
1998,Ivanovo Oblast,1.4,20.7,16.1,0.1,0.04,-10.7,7.2,17.9,79.74,82.35,38.34
1998,Jewish Autonomous Oblast,2.3,11.6,11.5,0.5,0.2,-1.7,10.2,11.9,67.47,66.93,26.099999999999998
1998,Kabardino-Balkar Republic,1.6,9.9,6.5,0.3,0.3,2.0,11.5,9.5,78.8,57.0,18.6
1998,Kaliningrad Oblast,2.7,21.6,12.2,1.1,0.3,-5.3,8.0,13.3,66.77,78.12,37.9
1998,Kaluga Oblast,2.8,24.2,15.6,0.7,0.1,-8.3,7.5,15.8,75.9,74.26,43.400000000000006
1998,Kamchatka Krai,6.4,25.5,25.1,0.8,0.4,0.2,9.8,9.6,47.74,80.63,58.199999999999996
1998,Karachay-Cherkess Republic,1.7,5.4,8.6,0.1,0.04,1.0,11.3,10.3,82.77,43.89,15.839999999999998
1998,Kemerovo Oblast,3.6,25.6,16.8,1.1,0.4,-5.7,8.7,14.4,71.37,86.61,47.5
1998,Khabarovsk Krai,3.7,24.8,15.6,1.4,0.6,-3.6,8.9,12.5,60.67,80.56,46.1
1998,Khanty–Mansi Autonomous Okrug – Yugra,3.0,23.8,11.5,0.8,0.3,5.5,11.5,6.0,48.55,91.13,39.39999999999999
1998,Kirov Oblast,2.0,12.4,12.8,0.4,0.1,-6.4,8.2,14.6,77.5,70.79,27.700000000000003
1998,Komi Republic,5.7,30.3,21.1,1.9,0.6,-0.7,9.9,10.6,59.42,75.34,59.6
1998,Kostroma Oblast,1.7,25.8,17.9,1.2,0.1,-8.8,8.0,16.8,80.98,66.07,46.7
1998,Krasnodar Krai,8.5,18.3,8.7,1.0,0.3,-5.2,8.8,14.0,79.91,53.82,36.8
1998,Krasnoyarsk Krai,3.7,25.0,14.1,0.9,0.3,-3.7,9.5,13.2,66.56,74.83,43.99999999999999
1998,Kurgan Oblast,3.8,20.1,15.1,1.2,0.2,-4.8,9.3,14.1,78.2,56.16,40.400000000000006
1998,Kursk Oblast,1.5,22.9,4.4,0.7,0.1,-8.6,8.2,16.8,83.55,59.96,29.599999999999998
1998,Leningrad Oblast,2.3,15.0,13.9,0.5,0.2,-8.6,6.8,15.4,77.83,66.22,31.900000000000002
1998,Lipetsk Oblast,2.6,29.6,15.3,1.4,0.2,-7.2,7.8,15.0,78.49,63.4,49.1
1998,Magadan Oblast,6.2,33.8,23.1,2.1,0.3,0.5,9.9,9.4,46.28,89.1,65.5
1998,Mari El Republic,3.6,28.4,13.5,0.7,0.2,-3.9,8.9,12.8,75.13,62.75,46.400000000000006
1998,Moscow,6.8,30.0,18.9,3.5,0.7,-6.0,7.0,13.0,62.93,100.0,59.9
1998,Moscow Oblast,2.2,11.9,15.2,1.1,0.2,-8.1,6.9,15.0,71.43,79.57,30.6
1998,Murmansk Oblast,4.8,21.4,16.6,1.7,0.6,-0.6,8.4,9.0,51.53,92.02,45.1
1998,Nenets Autonomous Okrug,4.3,10.6,11.7,0.4,0.3,3.2,13.6,10.4,63.07,62.22,27.299999999999997
1998,Nizhny Novgorod Oblast,3.4,14.8,9.6,1.0,0.2,-8.1,7.8,15.9,78.56,77.69,28.999999999999996
1998,Novgorod Oblast,4.1,32.7,16.5,1.6,0.2,-9.7,8.0,17.7,80.11,70.22,55.10000000000001
1998,Novosibirsk Oblast,2.0,22.0,16.4,0.9,0.1,-4.6,8.3,12.9,71.24,74.4,41.4
1998,Omsk Oblast,6.2,42.1,12.8,1.0,0.6,-2.3,9.3,11.6,73.07,67.97,62.70000000000001
1998,Orenburg Oblast,1.7,19.0,9.1,1.2,0.2,-2.9,9.9,12.8,76.25,64.32,31.199999999999996
1998,Oryol Oblast,3.1,14.7,11.8,0.8,0.4,-7.6,7.8,15.4,79.19,63.05,30.8
1998,Penza Oblast,1.9,18.5,5.8,0.2,0.1,-7.2,7.6,14.8,76.37,64.39,26.5
